Team,Goals_Scored_Home,Goals_Conceded_Home,Goals_Scored_Away,Goals_Conceded_Away,Total_Matches_Played,Total_Won,Total_Drawn,Total_Lost,Goal_Difference
Man City,60,17,34,16,38,28,5,5,61
Arsenal,53,25,35,18,38,26,6,6,45
Man United,36,10,22,33,38,23,6,9,15
Newcastle,36,14,32,19,38,19,14,5,35
Liverpool,46,17,29,30,38,19,10,9,28
Brighton,37,21,35,32,38,18,8,12,19
Aston Villa,33,21,18,25,38,18,7,13,5
Tottenham,37,25,33,38,38,18,6,14,7
Brentford,35,18,23,28,38,15,14,9,12
Fulham,31,29,24,24,38,15,7,16,2
Crystal Palace,21,23,19,26,38,11,12,15,-9
Chelsea,20,19,18,28,38,11,11,16,-9
Wolves,19,20,12,38,38,11,8,19,-27
West Ham,26,24,16,31,38,11,7,20,-13
Bournemouth,20,28,17,43,38,11,6,21,-34
Nott'm Forest,27,24,11,44,38,9,11,18,-30
Leicester,23,27,28,41,38,9,7,22,-17
Everton,16,27,18,30,38,8,12,18,-23
Leeds,26,37,22,41,38,7,10,21,-30
Southampton,19,37,17,36,38,6,7,25,-37
